Product ID,Brand,Product Name,Current Stock Qty,Unit Cost (INR),Last Restock Date
P0224,BRAND_C,145/70 R 12 BY-801,15,"2,766.00",1/20/2026
P0222,BRAND_C,145/80 R 12 BY-801,364,"2,876.00",1/20/2026
P0258,BRAND_C,155/65 R 13 BY-801,191,"2,976.00",1/20/2026
P0228,BRAND_C,145/80 R 13 BY-801,26,"3,067.00",12/22/2025
P0168,BRAND_A,145/80 R 13 TR203,167,"3,245.00",6/16/2025
P0260,BRAND_C,155/65 R 14 BY-801,161,"3,281.00",1/20/2026
P0246,BRAND_C,155 R 12 C / 8PR BY-05,167,"3,333.00",1/20/2026
P0226,BRAND_C,165/70 R 12 BY-801,4,"3,334.00",1/20/2026
P0230,BRAND_C,155/80 R 13 BY-801,58,"3,421.00",1/20/2026
P0186,BRAND_A,155/65 R 14 TR203,38,"3,435.00",6/16/2025
P0266,BRAND_C,165/65 R 14 BY-801,35,"3,554.00",1/20/2026
P0164,BRAND_A,165/60 R 14 TR23,18,"3,712.00",6/16/2025
P0238,BRAND_C,165/70 R 14 BY-801,35,"3,713.00",1/20/2026
P0232,BRAND_C,175/70 R 13 BY-801,77,"3,717.00",12/22/2025
P0262,BRAND_C,175/65 R 14 BY-801,16,"3,780.00",12/22/2025
P0205,BRAND_A,165/50 R 16 TR23A,46,"3,833.00",4/25/2024
P0194,BRAND_A,165/55 R 14 TR23A,42,"3,843.00",10/31/2024
P0190,BRAND_A,165/65 R 14 TR203,13,"3,849.00",10/31/2024
P0196,BRAND_A,165/55 R 14 TR203,12,"3,851.00",6/16/2025
P0207,BRAND_A,145 R 12C / 8PR TR06,79,"3,862.00",6/16/2025
P0355,BRAND_B,155/65 R 13 HB608,8,"3,863.00",2/23/2023
P0333,BRAND_B,155/70 R 12 WL HB608,38,"3,870.00",3/24/2023
P0341,BRAND_B,155/70 R 13 H986,2,"3,896.00",12/14/2023
P0188,BRAND_A,165/65 R 14 TR23,3,"3,898.00",9/18/2023
P0234,BRAND_C,175/70 R 14 BY-801,62,"3,921.00",11/6/2025
P0335,BRAND_B,145/80 R 13 H986,68,"3,942.00",5/17/2024
P0173,BRAND_A,165/70 R 14 TR203,70,"3,946.00",6/16/2025
P0204,BRAND_A,165/60 R 15 TR203,8,"3,970.00",6/16/2025
P0236,BRAND_C,185/70 R 13 BY-801,40,"4,065.00",1/20/2026
P0393,BRAND_B,145 R 12 C / 8PR S-888,117,"4,091.00",2/23/2023
P0248,BRAND_C,165 R 13 C / 8PR BY-06,326,"4,246.00",10/25/2025
P0357,BRAND_B,155/65 R 14 HB608,265,"4,264.00",5/17/2024
P0192,BRAND_A,175/65 R 14 TR203,51,"4,270.00",6/16/2025
P0343,BRAND_B,165/70 R 13 H986,99,"4,273.00",2/23/2023
P0395,BRAND_B,155 R 12 C / 8PR S-888,192,"4,302.00",1/27/2022
P0264,BRAND_C,175/65 R 15 BY-801,43,"4,352.00",12/22/2025
P0175,BRAND_A,175/70 R 14 TR203,25,"4,361.00",10/31/2024
P0171,BRAND_A,185/70 R 13 TR203,30,"4,445.00",10/31/2024
P0337,BRAND_B,155/80 R 13 H986,99,"4,512.00",1/27/2022
P0240,BRAND_C,185/70 R 14 BY-801,47,"4,513.00",10/26/2025
P0036,BRAND_A,175/55 R 15 TR210,60,"4,534.00",7/24/2024
P0347,BRAND_B,165/70 R 14 HB608,216,"4,595.00",5/17/2024
P0242,BRAND_C,185/65 R 15 BY-801,75,"4,613.00",1/20/2026
P0197,BRAND_A,175/65 R 15 TR203,255,"4,623.00",4/25/2024
P0371,BRAND_B,165/55 R 15 HB-2,2,"4,677.00",5/17/2024
P0345,BRAND_B,175/70 R 13 HB608,34,"4,704.00",2/11/2023
P0179,BRAND_A,185/70 R 14 TR203,19,"4,706.00",7/18/2024
P0276,BRAND_C,185/55 R 16 BY-998,10,"4,728.00",12/22/2025
P0177,BRAND_A,185/70 R 14 TR23,2,"4,795.00",9/18/2023
P0339,BRAND_B,165/80 R 13 H986,17,"4,829.00",5/17/2024
P0278,BRAND_C,195/55 R 16 BY-998,16,"4,856.00",12/22/2025
P0256,BRAND_C,195/70 R 14 BY-801,30,"4,856.00",1/20/2026
P0244,BRAND_C,195/65 R 15 BY-801,120,"4,873.00",1/20/2026
P0359,BRAND_B,175/65 R 15 HB608,118,"4,879.00",5/17/2024
P0052,BRAND_A,195/50 R 15 TR210,42,"4,889.00",1/6/2026
P0199,BRAND_A,185/65 R 15 TR203,280,"4,918.00",7/18/2024
P0351,BRAND_B,185/70 R 14 HB608,148,"4,920.00",5/17/2024
P0016,BRAND_A,185/65 R 14 TR17,70,"4,941.00",4/10/2025
P0032,BRAND_A,185/60 R 15 TR201,99,"5,092.00",2/11/2026
P0018,BRAND_A,185/65 R 15 TR17,79,"5,124.00",7/2/2025
P0349,BRAND_B,175/70 R 14 H986,40,"5,126.00",5/17/2024
P0037,BRAND_A,185/55 R 15 TR30,77,"5,139.00",2/11/2026
P0397,BRAND_B,165 R 13 C / 8PR S-888,143,"5,158.00",2/11/2023
P0030,BRAND_A,185/60 R 15 TR17,6,"5,180.00",7/24/2024
P0201,BRAND_A,195/65 R 15 TR203,343,"5,191.00",4/25/2024
P0039,BRAND_A,195/55 R 15 TR30,67,"5,210.00",12/23/2025
P0020,BRAND_A,185/65 R 15 TR201,291,"5,285.00",2/11/2026
P0361,BRAND_B,185/65 R 14 HB608,110,"5,289.00",7/26/2021
P0367,BRAND_B,185/60 R 15 HB608,70,"5,301.00",5/17/2024
P0280,BRAND_C,205/55 R 16 BY-998,7,"5,318.00",12/22/2025
P0373,BRAND_B,185/55 R 15 HB608,22,"5,345.00",1/18/2023
P0282,BRAND_C,205/60 R 16 BY-801,32,"5,376.00",1/20/2026
P0034,BRAND_A,195/60 R 15 TR30,60,"5,380.00",12/23/2025
P0250,BRAND_C,185 R 14 C / 8PR BY-05,448,"5,448.00",11/6/2025
P0033,BRAND_A,195/60 R 15 TR23,4,"5,489.00",12/24/2019
P0384,BRAND_B,195/50 R 15 HB608,13,"5,498.00",1/18/2023
P0268,BRAND_C,205/65 R 15 BY-801,58,"5,520.00",12/22/2025
P0041,BRAND_A,185/55 R 16 TR30,238,"5,553.00",2/11/2026
P0023,BRAND_A,195/65 R 15 TR201,273,"5,555.00",1/6/2026
P0181,BRAND_A,195/70 R 14 TR23,26,"5,567.00",6/16/2025
P0050,BRAND_A,195/50 R 16 TR30,39,"5,569.00",2/11/2026
P0363,BRAND_B,185/65 R 15 HB608,141,"5,590.00",5/17/2024
P0043,BRAND_A,195/55 R 16 TR30,58,"5,601.00",1/6/2026
P0375,BRAND_B,185/55 R 16 HB-2,186,"5,638.00",1/23/2024
P0302,BRAND_C,215/45 R 17 BY-998,14,"5,654.00",12/22/2025
P0021,BRAND_A,195/65 R 15 TR17,18,"5,671.00",7/24/2024
P0053,BRAND_A,205/50 R 16 TR30,16,"5,753.00",12/23/2025
P0073,BRAND_A,165 R 13 C / 8PR TR100,398,"5,756.00",1/6/2026
P0047,BRAND_A,205/55 R 16 TR201,24,"5,758.00",1/6/2026
P0365,BRAND_B,195/65 R 15 HB608,109,"5,835.00",5/17/2024
P0014,BRAND_A,195/70 R 14 TR17,173,"5,837.00",2/11/2026
P0353,BRAND_B,195/70 R 14 H986,29,"5,837.00",2/23/2023
P0304,BRAND_C,225/45 R 17 BY-998,54,"5,841.00",10/10/2025
P0386,BRAND_B,195/50 R 16 HB-2,16,"5,843.00",8/8/2023
P0028,BRAND_A,195/60 R 16 TR30,68,"5,901.00",2/11/2026
P0377,BRAND_B,195/55 R 15 HB608,36,"5,907.00",1/21/2022
P0252,BRAND_C,195 R 14 C / 8PR BY-05,146,"5,967.00",1/20/2026
P0183,BRAND_A,205/70 R 14 TR23,1,"5,977.00",10/31/2024
P0081,BRAND_A,205/55 R 17 TR201,72,"6,035.00",4/10/2025
P0045,BRAND_A,205/55 R 16 TR30,1,"6,114.00",4/13/2023
P0027,BRAND_A,205/65 R 15 TR201,70,"6,133.00",4/10/2025
P0389,BRAND_B,205/50 R 15 HB608,18,"6,147.00",7/2/2021
P0378,BRAND_B,195/55 R 16 HB-2,23,"6,156.00",1/23/2024
P0048,BRAND_A,205/55 R 16 TR17,4,"6,159.00",1/25/2025
P0124,BRAND_A,215/45 R 17 TR30,147,"6,217.00",2/11/2026
P0388,BRAND_B,205/50 R 16 HB-2,19,"6,261.00",1/18/2023
P0254,BRAND_C,195 R 15 C / 8PR BY-05,175,"6,299.00",1/20/2026
P0306,BRAND_C,235/45 R 17 BY-998,33,"6,299.00",10/10/2025
P0057,BRAND_A,205/60 R 16 TR17,42,"6,330.00",7/24/2024
P0059,BRAND_A,205/60 R 16 TR201,30,"6,356.00",2/11/2026
P0055,BRAND_A,205/60 R 16 TR30,2,"6,373.00",5/25/2023
P0025,BRAND_A,205/65 R 15 TR17,9,"6,395.00",5/10/2024
P0308,BRAND_C,215/55 R 17 BY-998,36,"6,398.00",1/20/2026
P0380,BRAND_B,205/55 R 16 HB1EVO,24,"6,472.00",2/23/2023
P0286,BRAND_C,215/65 R 16 BY-HT987,7,"6,633.00",10/25/2025
