Date,Brand,Product ID,Product Name,Units Sold,Unit Price (INR),Revenue (INR),Transaction Type,Price Level
2024-04-08,BRAND_A,P0102,215/70 R 16 TR28 OWL,4.00,"15,124.00","60,496.00",Sale,A
2024-04-08,BRAND_A,P0144,33 x 12.5 R 15/ 6PR OWL TR28,1.00,"19,658.00","19,658.00",Sale,X
2024-04-08,BRAND_A,P0207,145 R 12C / 8PR TR06,2.00,"7,068.00","14,136.00",Sale,A
2024-04-08,BRAND_B,P0378,195/55 R 16 HB-2,2.00,"5,158.00","10,315.00",Sale,A
2024-04-08,BRAND_B,P0382,225/55 R 16 HB-2,4.00,"16,209.00","64,836.00",Sale,A
2024-04-08,BRAND_B,P0431,215/70 R 16 OWL HB-8,4.00,"15,124.00","60,496.00",Sale,A
2024-04-08,BRAND_B,P0435,235/75 R 15 / 6PR OWL HB-6,2.00,"20,469.00","40,938.00",Sale,A
2024-04-08,BRAND_C,P0230,155/80 R 13 BY-801,4.00,"6,259.00","25,034.00",Sale,A
2024-04-08,BRAND_C,P0329,1000 R 20/18 PR LO105 (SET),6.00,"39,000.00","234,000.00",Sale,A
2024-04-09,BRAND_A,P0110,255/70 R 16 TR28,2.00,"22,903.00","45,805.00",Sale,A
2024-04-09,BRAND_D,P0001,1000 R 20/18 PR CT23 (SET),2.00,"47,480.00","94,960.00",Sale,A
2024-04-09,BRAND_C,P0252,195 R 14 C / 8PR BY-05,4.00,"10,705.00","42,818.00",Sale,A
2024-04-09,BRAND_C,P0286,215/65 R 16 BY-HT987,4.00,"12,419.00","49,674.00",Sale,A
2024-04-09,BRAND_C,P0320,225/55 R 18 BY-HP987,2.00,"13,752.00","27,504.00",Sale,A
2024-04-10,BRAND_A,P0084,215/55 R 17 TR201,1.00,"14,657.00","14,657.00",Sale,A
2024-04-10,BRAND_A,P0144,33 x 12.5 R 15/ 6PR OWL TR28,4.00,"30,628.00","122,512.00",Sale,A
2024-04-10,BRAND_A,P0162,235/55 R 19 TR50,2.00,"10,894.00","21,788.00",Sale,X
2024-04-10,BRAND_B,P0371,165/55 R 15 HB-2,3.00,"9,170.00","27,508.00",Sale,A
2024-04-10,BRAND_C,P0264,175/65 R 15 BY-801,2.00,"5,110.00","10,220.00",Sale,X
2024-04-10,BRAND_C,P0286,215/65 R 16 BY-HT987,4.00,"12,419.00","49,674.00",Sale,A
2024-04-11,BRAND_C,P0230,155/80 R 13 BY-801,1.00,"5,946.00","5,946.00",Sale,A
2024-04-15,BRAND_A,P0095,265/65 R 17 TR28,2.00,"21,052.00","42,104.00",Sale,A
2024-04-17,BRAND_A,P0068,225/50 R 17 TR30,1.00,"14,934.00","14,934.00",Sale,A
2024-04-17,BRAND_A,P0199,185/65 R 15 TR203,4.00,"4,946.00","19,782.00",Sale,X
2024-04-17,BRAND_A,P0201,195/65 R 15 TR203,4.00,"5,224.00","20,894.00",Sale,X
2024-04-17,BRAND_C,P0268,205/65 R 15 BY-801,4.00,"5,668.00","22,671.00",Sale,X
2024-04-17,BRAND_C,P0310,225/60 R 17 BY-HT987,4.00,"7,317.00","29,268.00",Sale,X
2024-04-18,BRAND_A,P0124,215/45 R 17 TR30,4.00,"6,123.00","24,491.00",Sale,X
2024-04-19,BRAND_A,P0087,225/65 R 17 TR30,4.00,"7,405.00","29,620.00",Sale,X
2024-04-20,BRAND_A,P0043,195/55 R 16 TR30,4.00,"5,500.00","22,000.00",Sale,X
2024-04-20,BRAND_A,P0087,225/65 R 17 TR30,4.00,"7,405.00","29,620.00",Sale,X
2024-04-20,BRAND_A,P0124,215/45 R 17 TR30,4.00,"6,123.00","24,491.00",Sale,X
2024-04-20,BRAND_A,P0156,225/55 R 18 TR50,4.00,"8,555.00","34,220.00",Sale,X
2024-04-20,BRAND_C,P0312,225/65 R 17 BY-HT987,4.00,"7,746.00","30,984.00",Sale,X
2024-04-22,BRAND_A,P0050,195/50 R 16 TR30,4.00,"10,944.00","43,776.00",Sale,A
2024-04-22,BRAND_A,P0059,205/60 R 16 TR201,2.00,"12,806.00","25,612.00",Sale,A
2024-04-22,BRAND_A,P0209,195/75 R 16C / 10PR TR06,5.00,"15,506.00","77,532.00",Sale,A
